obs_id,seeing_avg,seeing_min,seeing_max,seeing_ambi_fwhm,seeing_tel_fwhm,seeing_tel_fwhmlin,seeing_tel_fwhmlinobs,windspeed_ambi
HD_122705__2016-03-30__06-08-16,0.385969,0.2885,0.615429,1.0,56.3,1.66,1.77,5.18
HD_125451__2016-06-12__01-39-47,-1.0,-1.0,-1.0,1.0,1.16,1.27,1.46,15.78
HD_128819__2016-04-17__06-04-03,0.586865,0.399426,1.1317,0.8,3.45,0.99,1.02,12.45
HD_128819__2017-03-19__07-35-26,0.389406,0.233446,0.774352,1.4,0.71,0.97,1.0,1.63
HD_128987__2016-06-01__02-51-53,0.62345,0.456561,0.925493,1.0,0.96,1.03,1.04,8.48
HD_131399__2016-05-07__04-28-37,0.563085,0.381898,0.798562,1.2,0.98,1.03,1.04,10.57
HD_131835__2015-05-14__04-10-05,-1.0,-1.0,-1.0,1.0,0.56,0.83,0.85,5.47
HD_133803__2016-04-21__05-24-48,1.27284,0.828705,1.8831,0.8,1.46,1.6,1.61,10.9
HD_133803__2016-06-28__01-37-21,-1.0,-1.0,-1.0,1.0,2.45,1.34,1.35,15.85
HD_138204__2016-03-29__07-23-28,0.698514,0.344927,1.62439,1.0,2.74,1.14,1.17,13.73
HD_140840__2016-04-21__07-08-29,1.19427,0.686098,2.01932,0.8,1.35,1.53,1.56,12.1
HD_141190__2015-03-31__08-08-20,-1.0,-1.0,-1.0,1.2,0.74,0.8,0.81,16.73
HD_141190__2015-06-09__03-06-49,0.441429,0.361994,0.633998,1.2,0.88,0.92,0.93,4.7
HD_141378__2015-06-05__03-13-45,0.687884,0.511276,1.05957,1.0,1.06,1.13,1.18,11.53
HD_141943__2016-05-25__03-43-09,0.428874,0.28824,0.619872,1.0,0.83,0.89,0.93,1.5
HD_141943__2016-05-31__03-34-49,0.618092,0.460209,0.878431,1.0,5.44,1.12,1.16,9.07
HD_141943__2017-04-30__05-57-20,0.398,0.257246,0.620379,1.0,0.75,0.81,0.83,8.53
HD_14228__2015-09-26__07-10-54,0.381405,0.274464,0.650668,1.0,0.77,0.82,0.88,3.6
HD_14228__2016-09-17__07-03-47,-1.0,-1.0,-1.0,0.8,103.39,0.83,0.89,1.68
HD_14228__2017-09-01__08-08-21,-1.0,-1.0,-1.0,1.0,0.79,0.83,0.89,4.05
HD_14228__2017-09-01__08-36-51,0.421519,0.310426,0.601347,1.0,0.81,0.87,0.93,4.3
HD_142705__2015-05-09__04-57-46,-1.0,-1.0,-1.0,1.0,0.89,0.96,0.96,7.95
HD_142851__2015-06-03__04-11-46,0.446764,0.316651,0.676237,1.0,0.79,0.84,0.84,7.68
HD_143488__2015-05-09__06-23-56,-1.0,-1.0,-1.0,1.0,0.91,0.97,1.0,8.13
HD_143488__2015-05-19__06-12-06,-1.0,-1.0,-1.0,1.2,0.93,0.99,1.03,5.75
HD_143488__2016-06-11__03-31-24,-1.0,-1.0,-1.0,1.0,0.93,1.0,1.02,3.38
HD_143567__2015-05-04__06-05-18,-1.0,-1.0,-1.0,1.4,0.77,0.83,0.83,4.22
HD_143637__2015-06-01__04-01-40,0.615144,0.40756,1.17364,1.0,1.13,1.14,1.15,3.28
HD_143637__2015-06-04__03-02-47,0.510304,0.306241,0.998166,1.0,0.9,0.98,1.0,8.3
HD_143637__2015-06-04__05-01-24,0.454706,0.322116,0.723197,1.0,0.76,0.82,0.84,8.48
HD_143637__2017-03-20__08-45-00,0.441069,0.291736,0.998517,1.4,0.87,0.93,0.94,4.65
HD_1466__2015-10-26__03-01-44,0.681403,0.458615,1.39922,1.4,1.05,1.13,1.32,1.77
HD_1466__2016-09-18__05-32-12,-1.0,-1.0,-1.0,1.0,1.07,1.16,1.36,10.23
HD_147553__2015-05-30__05-02-09,0.342832,0.258761,0.638762,1.0,0.71,0.77,0.78,7.68
HD_147553__2016-03-28__08-37-36,1.65741,1.21853,2.25479,1.4,1.72,2.0,2.02,11.63
HD_147553__2016-04-17__07-54-03,0.993293,0.579273,1.5987,1.0,1.2,1.27,1.29,13.57
HD_147553__2018-06-18__03-58-47,1.78969,1.03584,2.20306,1.0,1.66,3.05,3.11,16.9
HD_148055__2015-04-05__07-36-58,-1.0,-1.0,-1.0,1.2,0.82,0.87,0.89,1.68
HD_148055__2016-03-29__08-59-17,0.829375,0.472415,1.27014,1.0,1.12,1.19,1.22,11.88
HD_15115__2015-10-26__04-40-45,0.514584,0.338164,0.961718,1.4,0.89,0.95,1.05,3.2
HD_151726__2016-04-01__09-11-13,0.402884,0.288944,0.758384,1.0,0.76,0.82,0.84,6.0
HD_151726__2017-05-18__06-18-50,0.805169,0.543928,1.23189,1.0,1.1,1.17,1.19,11.6
HD_151798__2016-06-12__03-47-07,-1.0,-1.0,-1.0,1.0,1.09,1.15,1.17,10.35
HD_152391__2015-06-05__05-03-34,0.664154,0.493156,0.96214,1.0,1.07,1.15,1.23,14.05
HD_156097__2016-06-28__03-39-05,-1.0,-1.0,-1.0,1.0,1.28,1.37,1.37,15.68
HD_159492__2016-06-11__05-40-25,-1.0,-1.0,-1.0,1.0,1.06,1.11,1.22,3.2
HD_159911__2015-05-12__07-17-59,-1.0,-1.0,-1.0,1.0,0.7,0.76,0.78,2.6
HD_159911__2016-04-16__09-34-10,0.362914,0.221434,0.690129,0.8,0.76,0.84,0.88,7.45
HD_159911__2016-05-22__06-07-40,0.349956,0.263025,0.479542,0.8,0.75,0.81,0.82,7.25
