obs_id,seeing_avg,seeing_min,seeing_max,seeing_ambi_fwhm,seeing_tel_fwhm,seeing_tel_fwhmlin,seeing_tel_fwhmlinobs,windspeed_ambi
HD_88955__2018-01-05__08-09-37,0.268003,0.192966,0.348092,1.0,0.73,0.79,0.81,1.33
HD_88955__2018-02-27__04-08-45,0.419745,0.257256,0.671913,1.0,0.81,0.86,0.89,4.75
HD_9054__2015-09-30__05-10-46,0.32563,0.252346,0.622441,1.0,0.74,0.78,0.84,3.1
HD_9054__2017-09-29__05-43-40,0.430374,0.342511,0.595538,1.0,0.79,0.84,0.91,2.8
HD_90712__2016-01-03__08-04-45,0.337125,0.246089,0.762651,1.0,0.81,0.86,0.87,0.38
HD_95086__2015-05-05__00-00-28,-1.0,-1.0,-1.0,1.4,0.97,1.13,1.39,5.5
HD_95086__2015-05-05__01-27-44,-1.0,-1.0,-1.0,1.4,0.92,1.07,1.31,5.6
HD_95086__2015-05-11__23-44-00,-1.0,-1.0,-1.0,1.0,99.33,1.28,1.58,2.4
HD_95086__2016-01-18__08-08-49,0.443135,0.286603,0.88638,1.0,324.77,1.33,1.62,1.15
HD_95086__2016-04-16__01-47-40,0.564547,0.358826,1.06095,0.8,0.9,1.0,1.22,7.53
HD_95086__2016-05-30__23-51-02,0.598359,0.435748,0.875608,1.0,0.93,1.07,1.32,5.58
HD_95086__2017-05-09__23-56-34,0.59625,0.397973,0.950223,1.0,0.93,1.04,1.27,12.57
HD_95086__2018-01-06__08-12-47,0.323175,0.243227,0.457454,1.0,0.79,0.89,1.09,3.98
HD_95086__2018-02-24__05-29-47,0.357717,0.232456,0.561449,1.0,0.79,0.87,1.06,3.25
HD_95086__2018-03-28__03-45-05,0.513539,0.397826,0.713885,1.0,0.87,0.98,1.2,6.75
HD_96064__2016-04-21__01-42-09,0.896165,0.595627,1.47834,0.8,1.26,1.34,1.4,10.4
HD_96064__2017-02-09__07-00-09,0.354552,0.222741,0.602843,1.0,0.72,0.78,0.82,5.88
HD_96338__2015-02-06__06-28-32,-1.0,-1.0,-1.0,1.2,1.16,1.25,1.32,9.43
HD_987__2016-10-15__03-30-20,-1.0,-1.0,-1.0,1.0,1.04,1.28,1.66,7.65
HIP_107345__2015-07-05__07-01-35,0.519426,0.384414,0.87825,1.4,0.94,1.03,1.18,11.15
HIP_112312__2015-10-01__02-04-36,0.35699,0.24732,0.654603,1.0,0.75,0.82,0.83,4.4
HIP_113201__2016-09-18__03-41-55,-1.0,-1.0,-1.0,1.0,1.08,1.17,1.26,10.07
HIP_113201__2016-10-15__01-29-53,-1.0,-1.0,-1.0,1.0,1.07,1.14,1.23,6.93
HIP_1993__2015-11-29__01-10-02,0.768283,0.477673,1.44315,1.0,1.08,1.15,1.32,4.33
HIP_23200__2015-09-28__08-50-29,0.253929,0.196484,0.358913,1.0,0.71,0.76,0.82,1.27
HIP_23309__2016-01-03__02-49-24,0.371576,0.284765,0.567771,1.0,58.56,0.95,1.05,1.85
HIP_31878__2016-01-02__04-48-37,0.550128,0.426173,0.809278,1.0,1.0,1.09,1.25,1.58
HIP_37288__2015-12-01__08-03-25,0.647506,0.404928,1.08982,1.0,8.01,1.17,1.26,6.1
HIP_37288__2017-02-13__03-24-12,0.577145,0.325295,1.46582,0.8,0.91,0.98,1.07,4.75
HIP_37766__2015-12-26__06-00-18,0.420527,0.281327,0.600406,1.0,0.78,0.84,0.91,8.35
HIP_39826__2017-02-12__03-12-32,0.990991,0.684964,1.89188,1.4,1.16,1.34,1.67,9.73
HIP_51317__2016-01-01__08-10-38,0.353383,0.232301,0.63437,1.0,0.69,0.75,0.8,4.97
HIP_6276__2015-12-02__00-49-59,0.598048,0.433818,1.10549,1.0,0.96,1.03,1.06,2.38
HIP_6276__2016-11-17__04-41-07,-1.0,-1.0,-1.0,1.0,2.03,8.11,9.38,18.6
HIP_70890__2016-03-28__06-28-47,1.09183,0.604338,2.17357,0.8,1.38,1.42,1.64,9.95
HIP_81084__2015-05-11__05-47-39,-1.0,-1.0,-1.0,1.0,0.67,0.73,0.74,7.0
HIP_81084__2015-08-04__00-48-47,0.42594,0.283952,0.56568,0.8,0.7,0.8,0.82,7.4
HIP_85647__2016-05-31__05-12-56,0.764385,0.521354,1.51462,1.0,1.12,1.19,1.27,11.78
TYC_1090-543-1__2015-06-06__09-18-00,0.774186,0.480182,1.43533,1.0,2.22,1.23,1.39,12.55
TYC_1090-543-1__2016-09-17__01-28-31,-1.0,-1.0,-1.0,0.8,0.94,0.99,1.12,0.75
TYC_1090-543-1__2018-05-13__09-10-02,0.646986,0.446897,1.0725,1.0,0.97,1.02,1.16,7.35
TYC_1355-214-1__2015-02-07__03-32-34,-1.0,-1.0,-1.0,1.2,1.06,1.19,1.48,9.0
TYC_1355-214-1__2017-02-10__02-57-36,0.573354,0.398992,0.958178,1.4,0.95,1.1,1.37,4.3
TYC_486-4943-1__2015-05-31__07-41-39,0.54803,0.376126,0.923451,1.0,1.03,1.08,1.17,5.28
TYC_486-4943-1__2016-05-23__07-56-22,0.386884,0.266152,0.86165,1.2,0.78,0.83,0.9,8.3
TYC_5164-567-1__2015-05-15__09-17-27,-1.0,-1.0,-1.0,1.0,2.27,1.12,1.18,11.3
TYC_5882-1169-1__2016-09-18__09-13-52,-1.0,-1.0,-1.0,1.0,0.95,1.02,1.04,10.82
TYC_5882-1169-1__2017-11-06__05-14-45,0.371164,0.311052,0.491229,1.0,0.77,0.82,0.83,1.08
TYC_5882-1169-1__2018-12-17__03-08-59,0.525861,0.38186,0.840866,1.0,0.93,1.0,1.01,6.97
TYC_5899-26-1__2016-01-18__01-13-47,0.458851,0.323878,0.747226,1.0,0.84,0.91,0.92,5.95
TYC_7026-325-1__2016-01-02__00-53-50,0.427324,0.306842,0.56955,1.0,0.9,0.97,0.98,4.7
TYC_7084-794-1__2015-11-29__06-14-34,0.279525,0.222276,0.406414,1.0,0.66,0.72,0.73,1.52
TYC_7084-794-1__2016-01-19__02-50-22,0.551122,0.377729,0.919651,1.0,0.94,1.02,1.03,4.03
TYC_7084-794-1__2016-02-19__00-50-46,0.551895,0.390021,0.887224,1.0,0.94,1.0,1.02,7.5
TYC_7084-794-1__2019-03-06__01-35-45,0.433509,0.295429,0.671536,0.8,0.88,0.97,1.03,2.88
TYC_7183-1477-1__2016-03-30__02-14-07,0.474535,0.328138,1.04435,1.4,0.85,0.91,0.92,4.58
TYC_7190-2111-1__2015-05-09__23-57-36,-1.0,-1.0,-1.0,1.0,1.09,1.17,1.18,6.38
TYC_7190-2111-1__2017-02-07__06-41-05,0.340502,0.219523,0.883149,1.0,0.77,0.83,0.85,8.0
TYC_7286-248-1__2015-05-13__03-59-04,-1.0,-1.0,-1.0,1.0,0.69,0.76,0.77,2.35
TYC_7443-1102-1__2015-05-04__09-26-47,-1.0,-1.0,-1.0,1.2,7.68,0.93,0.94,3.48
TYC_7443-1102-1__2015-05-18__08-27-53,-1.0,-1.0,-1.0,0.8,0.76,1.11,1.12,5.08
TYC_7443-1102-1__2015-06-09__07-33-40,0.400385,0.289732,0.680407,0.8,0.75,0.81,0.81,7.18
TYC_7617-549-1__2016-12-13__05-46-04,-1.0,-1.0,-1.0,0.8,0.78,0.84,0.86,5.9
TYC_8047-232-1__2015-09-25__06-19-09,0.540245,0.373229,0.771548,1.0,2.52,1.05,1.14,8.18
TYC_8047-232-1__2016-01-17__00-50-17,0.51218,0.353433,1.11214,1.0,0.97,1.06,1.2,0.82
TYC_8060-1673-1__2015-09-24__08-00-43,1.13077,0.731971,1.82733,1.0,1.44,1.63,1.7,15.23
TYC_8060-1673-1__2015-12-28__01-45-20,0.534425,0.325946,0.876086,1.0,0.88,0.95,0.99,5.65
TYC_8128-1946-1__2015-11-30__07-50-30,0.524621,0.389296,0.716587,1.0,0.93,0.99,1.05,5.4
TYC_8137-2609-1__2015-11-29__07-52-38,0.285767,0.219038,0.416872,1.0,0.69,0.76,0.81,4.2
TYC_8137-2609-1__2018-01-26__03-25-50,0.653329,0.0498402,1.34388,1.0,1.43,2.54,2.66,8.78
TYC_8404-354-1__2015-05-09__09-45-09,-1.0,-1.0,-1.0,1.0,0.89,0.92,0.99,5.03
TYC_8404-354-1__2015-05-30__07-28-42,0.520833,0.392923,0.793974,1.0,0.93,0.99,1.07,6.9
TYC_8728-2262-1__2015-06-03__05-56-44,0.476568,0.32671,0.860241,1.0,0.88,0.95,1.04,5.68
TYC_8760-1468-1__2015-06-27__05-23-59,0.303049,0.224418,0.447821,1.4,0.74,0.78,0.85,6.0
TYC_8760-1468-1__2018-04-19__09-32-42,0.400069,0.260021,0.817609,1.0,0.85,0.88,0.97,1.55
TYC_9073-762-1__2015-05-16__07-55-40,-1.0,-1.0,-1.0,1.0,3.57,1.16,1.33,13.1
TYC_9340-437-1__2015-10-25__00-30-26,0.702976,0.46578,1.34061,1.4,1.09,1.23,1.56,9.95
TYC_9340-437-1__2016-06-27__09-30-54,-1.0,-1.0,-1.0,1.0,1.16,1.3,1.65,5.95
TYC_9482-121-1__2016-06-28__08-13-14,-1.0,-1.0,-1.0,1.0,29.13,1.6,2.26,13.6
