obs_id,object_id,object_name,object_name_2MASS,object_name_HIP,object_name_HR,object_name_TYC,object_name_SAO,folder,date_obs,obs_start,obs_end,infrared_filter,irdis_dual_filter,tel_ambi_fwhm_mean,tel_tau0_mean,tel_ambi_windsp,windSpeed_200_asm,seeing_sparta_min,seeing_sparta_max,seeing_sparta_avg,seeing_tel_ia_fwhmlinobs,seeing_tel_ia_fwhmlin,seeing_tel_ia_fwhm,seeing_ambi_fwhm,mass_turbfwhm_asm,mass_fwhm_asm,dimm_fwhm_asm,historical_ambient_fwhm_asm,mass_tau0_asm,mass_tau_asm,historical_ambient_tau_asm,mass_tau0_ms_asm,mass_tau_ms_asm,historical_ambient_tau_ms_asm,tel_ambi_tau0,strehl_sparta_avg,strehl_sparta_max,strehl_sparta_min,flux_K,flux_H,flux_R,flux_G,NAXIS1,n_frames,rot_max,mtime,missing_psf,split,status_obs,comment,found,waffle_amplitude,is_lwe,category,seeing_final,tau_final,analytical_strehl,obs_category,analytical_strehl2,obs_category2,obs_category3
HD_100546__2015-05-04__01-08-29,HD_100546,HIP_56379,,HIP_56379,,TYC_9229-2446-1,SAO_251457,HD 100546b_DB_K12_2015-05-03_ird_convert_recenter_dc2022_COBREX_332593,2015-05-04T01:08:29.21,2015-05-04T00:31:45.65,2015-05-04T01:45:16.03,DB_K12,B_Ks,0.6800,2.1000,6.1000,57.2571,-1.0000,-1.0000,-1.0000,1.2900,1.0400,0.9600,1.0000,,,,0.6912,,,0.0021,,,2.0823,2.4000,-1.0000,-1.0000,-1.0000,5.4180,5.9600,,6.6858,256,256,-23.3145,2022-06-25_03-35-11,0,train,3.0000,interactive,,0.0500,0,1,0.6912,2.0823,0.8491,2,0.9244,2,1
HD_100546__2015-05-29__23-49-24,HD_100546,HIP56379,,HIP_56379,,TYC_9229-2446-1,SAO_251457,HD 100546b_DB_H23_2015-05-29_ird_convert_recenter_dc2022_COBREX_332868,2015-05-29T23:49:24.18,2015-05-29T22:54:40.33,2015-05-30T00:44:08.43,DB_H23,B_H,0.8400,1.7000,8.3200,56.8342,0.2947,0.9080,0.4531,1.2100,0.9700,0.8800,1.0000,,,,0.8235,,,0.0017,,,1.7233,1.6000,0.7397,0.8420,0.5736,5.4180,5.9600,,6.6858,384,384,-34.7346,2022-06-25_04-55-14,0,train,3.0000,interactive,,0.0300,0,1,0.8235,1.7233,0.8056,2,0.9075,2,1
HD_100546__2016-03-27__04-00-49,HD_100546,HIP_56379,,HIP_56379,,TYC_9229-2446-1,SAO_251457,HIP 56379_DB_K12_2016-03-26_ird_convert_recenter_dc2022_COBREX_332196,2016-03-27T04:00:49.48,2016-03-27T03:22:13.71,2016-03-27T04:39:25.35,DB_K12,B_Ks,2.4200,1.0000,13.1300,25.0076,0.8569,2.3159,1.3215,2.0000,1.6100,1.3600,1.0000,,,,2.3757,,,0.0010,,,0.9601,1.1000,0.5800,0.7165,0.3652,5.4180,5.9600,,6.6858,512,512,-24.5370,2022-06-24_23-37-17,0,train,3.0000,interactive,,0.0500,0,0,2.3757,0.9601,0.4088,0,0.6895,0,0
HD_100546__2016-05-31__23-41-26,HD_100546,HIP_56379,,HIP_56379,,TYC_9229-2446-1,SAO_251457,HD 100546b_DB_K12_2016-05-31_ird_convert_recenter_dc2022_COBREX_332556,2016-05-31T23:41:26.75,2016-05-31T22:55:44.59,2016-06-01T00:27:09.27,DB_K12,B_Ks,0.6800,2.4000,11.2000,56.8977,0.2609,1.1491,0.6397,1.4700,1.1800,1.0100,1.0000,0.7222,0.4328,0.6836,,0.0024,0.0028,,2.3736,2.8397,,2.2000,0.5740,0.9876,0.2963,5.4180,5.9600,,6.6858,320,320,-28.8905,2022-06-25_03-23-30,0,train,3.0000,interactive,,0.0400,0,1,0.6836,2.3736,0.8617,2,0.9280,2,1
HD_100546__2018-03-29__04-14-54,HD_100546,HIP_56379,,HIP_56379,,TYC_9229-2446-1,SAO_251457,HD 100546b_DB_K12_2018-03-28_ird_convert_recenter_dc2022_COBREX_333206,2018-03-29T04:14:54.27,2018-03-29T03:47:16.87,2018-03-29T04:42:29.03,DB_K12,B_Ks,0.6800,6.5000,3.1000,20.7720,0.4089,0.6441,0.4828,1.4800,1.2000,1.0500,1.0000,0.7441,0.5186,0.6874,,0.0066,0.0072,,6.5546,7.1979,,8.9000,0.9608,0.9700,0.9431,5.4180,5.9600,,6.6858,192,192,-17.4099,2022-06-25_07-08-38,0,train,3.0000,interactive,,0.0400,0,2,0.6874,6.5546,0.9001,2,0.9377,2,2
HD_101615__2016-06-02__00-32-53,HD_101615,HIP_57013,,HIP_57013,HR_4502,TYC_7749-1616-1,SAO_222960,HIP 57013_DB_H23_2016-06-01_ird_convert_recenter_dc2022_COBREX_332583,2016-06-02T00:32:53.36,2016-06-02T00:06:24.62,2016-06-02T00:59:21.65,DB_H23,B_H,0.5300,3.7000,6.0300,,-1.0000,-1.0000,-1.0000,0.7700,0.7400,0.6800,1.0000,0.5437,0.2938,0.4986,,0.0037,0.0040,,3.6917,4.0083,,4.2000,-1.0000,-1.0000,-1.0000,5.4420,5.5110,,5.5346,48,48,-28.8783,2022-06-25_03-29-48,0,train,0.0000,interactive,,0.0400,0,2,0.4986,3.6917,0.9248,2,0.9642,2,2
HD_102647__2015-05-31__02-07-12,HD_102647,Beta Leo,,HIP_57632,HR_4534,TYC_870-988-1,SAO_99809,HIP 57632_DB_H23_2015-05-30_ird_convert_recenter_dc2022_COBREX_330137,2015-05-31T02:07:12.24,2015-05-31T01:33:48.89,2015-05-31T02:40:34.64,DB_H23,B_H,1.1100,1.1000,6.1500,62.7067,0.6270,1.1578,0.8073,1.8100,1.3700,30.0500,1.0000,,,,1.1177,,,0.0011,,,1.1136,1.1000,0.7972,0.8649,0.5686,1.9000,1.9250,2.0800,,800,800,14.3709,2022-06-16_16-21-39,0,train,0.0000,interactive,,0.0400,0,1,1.1177,1.1136,0.6890,1,0.8794,1,0
HD_102647__2015-05-31__23-39-09,HD_102647,HD_102647 BET_LEO,,HIP_57632,HR_4534,TYC_870-988-1,SAO_99809,HIP 57632_DB_H23_2015-05-31_ird_convert_recenter_dc2022_COBREX_337154,2015-05-31T23:39:09.93,2015-05-31T22:56:34.03,2015-06-01T00:21:47.70,DB_H23,B_H,0.9900,1.3000,5.5000,57.3061,-1.0000,-1.0000,-1.0000,1.3200,1.1300,1.0500,1.0000,,,,1.0190,,,0.0013,,,1.2875,1.1000,-1.0000,-1.0000,-1.0000,1.9000,1.9250,2.0800,,1024,1024,29.7157,2022-07-08_10-03-21,0,test,0.0000,interactive,,0.0400,0,1,1.0190,1.2875,0.7368,1,0.8986,2,0
HD_103599__2015-06-02__23-29-37,HD_103599,HIP_58167,,HIP_58167,,TYC_8631-1431-1,,HIP 58167_DB_H23_2015-06-02_ird_convert_recenter_dc2022_COBREX_332930,2015-06-02T23:29:37.04,2015-06-02T22:54:28.36,2015-06-03T00:04:44.25,DB_H23,B_H,1.1700,3.3000,3.5300,16.1494,0.5118,0.9937,0.6596,1.2200,1.1200,1.0400,1.0000,,,,1.4205,,,0.0032,,,3.2249,2.4000,0.7920,0.8425,0.5856,7.2840,7.3600,,8.1889,64,64,-30.9616,2022-06-25_05-06-36,0,train,0.0000,interactive,,0.0300,0,1,1.4205,3.2249,0.6533,1,0.8206,1,0
HD_104125__2015-06-03__23-27-24,HD_104125,HIP_58465,,HIP_58465,,TYC_8639-313-1,SAO_239550,HIP 58465_DB_H23_2015-06-03_ird_convert_recenter_dc2022_COBREX_330591,2015-06-03T23:27:24.06,2015-06-03T22:52:16.03,2015-06-04T00:02:31.98,DB_H23,B_H,1.1700,2.5000,5.8000,29.2581,0.4621,0.9380,0.6206,1.2800,1.1500,3.0500,1.0000,,,,1.3093,,,0.0025,,,2.4658,2.6000,0.7583,0.8880,0.4752,6.2930,6.3440,,6.7477,64,64,-28.5488,2022-06-17_17-49-16,0,train,0.0000,interactive,,0.0300,0,1,1.3093,2.4658,0.7395,1,0.8645,1,0
