obs_id,object_id,object_name,object_name_2MASS,object_name_HIP,object_name_HR,object_name_TYC,object_name_SAO,folder,date_obs,obs_start,obs_end,infrared_filter,irdis_dual_filter,tel_ambi_fwhm_mean,tel_tau0_mean,tel_ambi_windsp,windSpeed_200_asm,seeing_sparta_min,seeing_sparta_max,seeing_sparta_avg,seeing_tel_ia_fwhmlinobs,seeing_tel_ia_fwhmlin,seeing_tel_ia_fwhm,seeing_ambi_fwhm,mass_turbfwhm_asm,mass_fwhm_asm,dimm_fwhm_asm,historical_ambient_fwhm_asm,mass_tau0_asm,mass_tau_asm,historical_ambient_tau_asm,mass_tau0_ms_asm,mass_tau_ms_asm,historical_ambient_tau_ms_asm,tel_ambi_tau0,strehl_sparta_avg,strehl_sparta_max,strehl_sparta_min,flux_K,flux_H,flux_R,flux_G,NAXIS1,n_frames,rot_max,mtime,missing_psf,split,status_obs,comment,found,waffle_amplitude,is_lwe,category,seeing_final,tau_final,analytical_strehl,obs_category,analytical_strehl2,obs_category2,obs_category3
HD_113457__2016-04-17__04-19-01,HD_113457,HIP_63839,,HIP_63839,,TYC_8997-1463-1,SAO_252144,HIP 63839_DB_H23_2016-04-16_ird_convert_recenter_dc2022_COBREX_330189,2016-04-17T04:19:01.62,2016-04-17T03:35:13.77,2016-04-17T05:02:48.53,DB_H23,B_H,0.8300,3.3000,9.4300,46.3885,0.4377,1.5005,0.6908,1.3300,1.1300,1.0000,0.8000,0.8155,0.3976,0.8210,,0.0032,0.0045,,3.2028,4.4807,,3.4000,0.7233,0.7940,0.5343,6.6400,6.6470,,6.6337,80,80,-30.4166,2022-06-16_16-58-47,0,calib,0.0000,interactive,,0.0300,0,2,0.8210,3.2028,0.8563,2,0.9221,2,2
HD_115383__2015-05-06__03-19-20,HD_115383,HIP_64792,,HIP_64792,HR_5011,TYC_891-624-1,SAO_119847,HIP_64792_DB_H23_2015-05-05_ird_convert_recenter_dc2022_COBREX_330124,2015-05-06T03:19:20.27,2015-05-06T02:41:30.28,2015-05-06T03:57:09.24,DB_H23,B_H,0.8900,1.9000,1.7500,48.4663,-1.0000,-1.0000,-1.0000,0.9100,0.8100,0.7500,1.4000,,,,0.8779,,,0.0019,,,1.8796,1.9000,-1.0000,-1.0000,-1.0000,4.0330,4.1070,4.8000,5.0398,896,896,29.6223,2022-06-16_16-28-01,0,train,0.0000,interactive,,0.0300,1,0,0.8779,1.8796,0.8159,0,0.9245,-1,-1
HD_115383__2015-06-03__01-11-22,HD_115383,HIP_64792,,HIP_64792,HR_5011,TYC_891-624-1,SAO_119847,HIP_64792_DB_H23_2015-06-02_ird_convert_recenter_dc2022_COBREX_332931,2015-06-03T01:11:22.00,2015-06-03T00:34:44.18,2015-06-03T01:47:59.06,DB_H23,B_H,1.3000,2.8000,2.0500,16.2174,0.4579,1.0272,0.6540,1.2700,1.1300,1.0500,1.0000,,,,1.6710,,,0.0027,,,2.7239,4.6000,0.8703,0.9115,0.7918,4.0330,4.1070,4.8000,5.0398,256,256,28.8594,2022-06-25_05-09-58,0,calib,0.0000,interactive,,0.0400,1,0,1.6710,2.7239,0.6714,0,0.8400,-1,-1
HD_115383__2015-06-05__01-31-11,HD_115383,HIP_64792,,HIP_64792,HR_5011,TYC_891-624-1,SAO_119847,HIP_64792_DB_K12_2015-06-04_ird_convert_recenter_dc2022_COBREX_332991,2015-06-05T01:31:11.83,2015-06-05T00:54:33.89,2015-06-05T02:07:50.27,DB_K12,B_Ks,1.7900,1.4000,13.7500,27.4562,0.5194,1.3298,0.7429,1.3900,1.2300,1.1600,1.4000,,,,1.7619,,,0.0014,,,1.4275,1.3000,0.8403,0.9077,0.6315,4.0330,4.1070,4.8000,5.0398,256,256,27.9601,2022-06-25_05-20-43,0,calib,0.0000,interactive,,0.0400,0,0,1.7619,1.4275,0.5977,1,0.8110,1,0
HD_115383__2015-06-06__01-30-46,HD_115383,HIP_64792,,HIP_64792,HR_5011,TYC_891-624-1,SAO_119847,HIP_64792_DB_Y23_2015-06-05_ird_convert_recenter_dc2022_COBREX_333017,2015-06-06T01:30:46.56,2015-06-06T00:45:03.83,2015-06-06T02:18:01.12,DB_Y23,B_Y,1.3500,2.2000,10.4300,26.5149,0.3389,0.7836,0.5216,1.1000,0.9600,0.8800,1.4000,,,,1.3335,,,0.0022,,,2.2440,2.6000,0.9072,0.9345,0.8566,4.0330,4.1070,4.8000,5.0398,1792,1792,35.2501,2022-06-25_06-16-45,1,,,,,0.0400,0,1,1.3335,2.2440,0.7376,1,0.8795,1,0
2MASS_J00172353-6645124__2015-10-01__05-06-04,HD_115383,HIP_64792,,HIP_64792,HR_5011,TYC_891-624-1,SAO_119847,HIP_64792_DB_J23_2015-06-06_ird_convert_recenter_dc2022_COBREX_333092,2015-06-07T01:38:47.66,2015-06-07T01:00:20.01,2015-06-07T02:17:17.89,DB_J23,B_J,1.9500,1.4000,11.6500,21.1502,-1.0000,-1.0000,-1.0000,1.5400,1.3600,1.2000,1.4000,,,,1.9770,,,0.0014,,,1.3777,1.3000,-1.0000,-1.0000,-1.0000,4.0330,4.1070,4.8000,5.0398,512,512,28.4241,2022-06-25_06-35-54,0,train,0.0000,interactive,,0.0400,0,0,1.9770,1.3777,0.5467,0,0.7802,0,0
HD_115383__2016-03-29__05-49-19,HD_115383,HIP_64792,,HIP_64792,HR_5011,TYC_891-624-1,SAO_119847,HIP_64792_DB_H23_2016-03-28_ird_convert_recenter_dc2022_COBREX_waffles_only_332318,2016-03-29T05:49:19.26,2016-03-29T05:11:23.55,2016-03-29T06:32:02.79,DB_H23,B_H,1.1000,2.1000,10.2000,19.0031,0.2977,0.9851,0.4982,1.1500,1.0300,0.8300,1.0000,,,,1.1097,,,0.0021,,,2.0844,1.4000,0.8925,0.9357,0.7282,4.0330,4.1070,4.8000,5.0398,104,104,31.2393,2022-06-25_00-26-17,0,train,0.0000,interactive,,0.0300,0,1,1.1097,2.0844,0.7801,1,0.9035,2,1
HD_115383__2017-02-10__08-50-22,HD_115383,HIP_64792,,HIP_64792,HR_5011,TYC_891-624-1,SAO_119847,HIP_64792_DB_H23_2017-02-09_ird_convert_recenter_dc2022_COBREX_waffles_only_333577,2017-02-10T08:50:22.29,2017-02-10T08:09:36.83,2017-02-10T09:29:12.83,DB_H23,B_H,0.7800,3.4000,7.8300,35.9474,0.3797,1.2179,0.6368,1.1700,1.0400,1.0100,1.4000,,,0.7757,,,,,,,,2.6000,0.8221,0.9121,0.5566,4.0330,4.1070,4.8000,5.0398,112,112,31.1881,2022-06-25_08-12-48,0,train,0.0000,interactive,,0.0200,0,2,0.7757,3.4000,0.8775,2,0.9454,2,2
HD_115383__2018-04-13__04-58-18,HD_115383,HIP_64792,,HIP_64792,HR_5011,TYC_891-624-1,SAO_119847,HIP_64792_DB_H23_2018-04-12_ird_convert_recenter_dc2022_COBREX_waffles_only_333317,2018-04-13T04:58:18.18,2018-04-13T04:18:49.55,2018-04-13T05:37:44.18,DB_H23,B_H,0.3400,14.2000,1.7000,18.2432,0.1903,0.3608,0.2340,0.8300,0.7400,0.6900,1.0000,0.4320,0.2435,0.3333,,0.0135,0.0163,,13.4983,16.2893,,10.5000,0.9407,0.9514,0.9255,4.0330,4.1070,4.8000,5.0398,90,90,30.2492,2022-06-25_07-31-02,0,train,0.0000,interactive,,0.0200,0,2,0.3333,13.4983,0.9708,2,0.9840,2,2
HD_115470__2016-04-01__05-36-30,HD_115470,HIP_64892,,HIP_64892,,TYC_7786-2677-1,SAO_224047,HIP 64892_DB_H23_2016-03-31_ird_convert_recenter_dc2022_COBREX_332351,2016-04-01T05:36:30.34,2016-04-01T05:01:21.77,2016-04-01T06:11:38.92,DB_H23,B_H,0.8400,2.2000,3.4500,30.6047,0.1906,0.3994,0.2710,0.7600,0.7300,0.6700,1.4000,,,,0.8402,,,0.0022,,,2.2412,2.3000,0.8336,0.8596,0.7806,6.8320,6.8790,,6.7989,64,64,-44.7010,2022-06-25_00-33-22,0,test,0.0000,interactive,,0.0300,0,1,0.8402,2.2412,0.8281,2,0.9107,2,1
HD_115470__2017-02-08__08-45-15,HD_115470,HIP_64892,,HIP_64892,,TYC_7786-2677-1,SAO_224047,HIP 64892_DB_K12_2017-02-07_ird_convert_recenter_dc2022_COBREX_waffles_only_333508,2017-02-08T08:45:15.77,2017-02-08T08:00:53.05,2017-02-08T09:37:22.18,DB_K12,B_Ks,0.7800,8.3000,6.0000,32.6432,0.2807,0.8114,0.3963,0.8100,0.7800,0.7300,1.0000,,,0.7848,,,,,,,,7.3000,0.8470,0.8707,0.7799,6.8320,6.8790,,6.7989,72,72,-60.8967,2022-06-25_07-59-52,0,train,0.0000,interactive,,0.0400,0,2,0.7848,8.3000,0.8838,2,0.9275,2,2
HD_115600__2015-06-04__01-05-14,HD_115600,HIP64995,,HIP_64995,,TYC_8661-1329-1,SAO_240737,HIP 64995_DB_H23_2015-06-03_ird_convert_recenter_dc2022_COBREX_330592,2015-06-04T01:05:14.65,2015-06-04T00:30:05.27,2015-06-04T01:40:23.31,DB_H23,B_H,1.1500,2.9000,3.9000,28.2594,0.4506,1.2142,0.6503,1.2800,1.1300,1.0600,1.0000,,,,1.1724,,,0.0029,,,2.8557,2.4000,0.7241,0.7707,0.6216,7.3370,7.3850,,8.1483,64,64,-27.3238,2022-06-17_17-49-29,0,train,3.0000,interactive,,0.0300,0,1,1.1724,2.8557,0.6835,1,0.8437,1,1
HD_115600__2017-05-08__02-57-36,HD_115600,HIP64995,,HIP_64995,,TYC_8661-1329-1,SAO_240737,HIP 64995_DB_J23_2017-05-07_ird_convert_recenter_dc2022_COBREX_331982,2017-05-08T02:57:36.05,2017-05-08T02:24:48.39,2017-05-08T03:30:24.60,DB_J23,B_J,1.4600,2.1000,16.1800,50.6603,-1.0000,-1.0000,-1.0000,1.3000,1.1500,1.0600,1.0000,,,1.4752,,,,,,,,2.1000,-1.0000,-1.0000,-1.0000,7.3370,7.3850,,8.1483,60,60,-25.5184,2022-06-24_22-01-57,0,train,3.0000,interactive,,0.0600,0,0,1.4752,2.1000,0.5606,1,0.7888,0,0
HD_116434__2016-05-31__01-33-30,HD_116434,HIP_65426,,HIP_65426,,TYC_8260-1526-1,SAO_240811,HIP 65426_DB_H23_2016-05-30_ird_convert_recenter_dc2022_COBREX_330202,2016-05-31T01:33:30.37,2016-05-31T00:58:21.13,2016-05-31T02:08:38.83,DB_H23,B_H,0.8400,2.6000,7.3500,57.2493,0.3984,1.4557,0.6713,1.1700,1.0900,1.0400,1.0000,0.8984,0.4383,0.8555,,0.0025,0.0029,,2.5346,2.9150,,2.1000,0.6009,0.7294,0.3475,6.7710,6.8530,,6.9986,64,64,-34.2228,2022-06-16_17-05-19,0,train,0.0000,interactive,,0.0400,0,1,0.8555,2.5346,0.8317,2,0.9065,2,1
HD_116434__2016-06-26__23-59-43,HD_116434,HIP_65426,,HIP_65426,,TYC_8260-1526-1,SAO_240811,HIP 65426_DB_H23_2016-06-26_ird_convert_recenter_dc2022_COBREX_332785,2016-06-26T23:59:43.84,2016-06-26T23:15:56.46,2016-06-27T00:43:30.95,DB_H23,B_H,0.6900,2.9000,2.2300,45.7964,-1.0000,-1.0000,-1.0000,1.1200,1.0400,0.9800,1.0000,0.7507,0.4163,0.6868,,0.0029,0.0030,,2.9174,2.9902,,3.1000,-1.0000,-1.0000,-1.0000,6.7710,6.8530,,6.9986,80,80,-42.1808,2022-06-25_04-11-12,0,train,0.0000,interactive,,0.0500,1,0,0.6868,2.9174,0.8705,0,0.9234,-1,-1
HD_116434__2017-02-07__08-36-46,HD_116434,HIP_65426,,HIP_65426,,TYC_8260-1526-1,SAO_240811,HIP 65426_DB_H23_2017-02-06_ird_convert_recenter_dc2022_COBREX_waffles_only_333440,2017-02-07T08:36:46.04,2017-02-07T07:50:18.33,2017-02-07T09:23:13.35,DB_H23,B_H,0.5800,7.2000,8.8000,30.0416,0.2776,0.6751,0.3935,1.0500,0.9700,243.4400,1.0000,,,0.5777,,,,,,,,5.8000,0.8416,0.8700,0.7943,6.7710,6.8530,,6.9986,80,80,-44.2689,2022-06-25_07-49-27,0,train,0.0000,interactive,,0.0400,0,2,0.5777,7.2000,0.9152,2,0.9386,2,2
HD_116434__2017-02-09__08-53-33,HD_116434,HIP_65426,,HIP_65426,,TYC_8260-1526-1,SAO_240811,HIP 65426_DB_K12_2017-02-08_ird_convert_recenter_dc2022_COBREX_waffles_only_331189,2017-02-09T08:53:33.48,2017-02-09T08:05:35.54,2017-02-09T09:47:50.48,DB_K12,B_Ks,0.8100,6.3000,7.0500,29.9080,0.0162,0.9906,0.4739,0.9400,0.8800,0.8000,1.0000,,,0.7981,,,,,,,,4.4000,0.7627,0.9999,0.6253,6.7710,6.8530,,6.9986,72,72,-49.0979,2022-06-22_13-58-22,0,test,0.0000,interactive,,0.0400,0,2,0.7981,6.3000,0.8749,2,0.9201,2,2
HD_116434__2018-05-13__03-08-58,HD_116434,HIP_65426,,HIP_65426,,TYC_8260-1526-1,SAO_240811,NAME HIP 65426 b_DB_K12_2018-05-12_ird_convert_recenter_dc2022_COBREX_waffles_only_328670,2018-05-13T03:08:58.07,2018-05-13T02:35:32.41,2018-05-13T03:42:22.06,DB_K12,B_Ks,0.7500,4.4000,8.3200,34.4290,0.2892,0.9910,0.5316,1.0300,0.9600,0.8900,1.0000,0.8274,0.3697,0.7871,,0.0042,0.0067,,4.1680,6.6557,,4.3000,0.8082,0.8597,0.7234,6.7710,6.8530,,6.9986,40,40,-31.6184,2022-06-10_20-14-08,0,test,0.0000,interactive,,0.0400,0,2,0.7871,4.1680,0.8677,2,0.9188,2,2
HD_118100__2016-06-27__23-49-18,HD_118100,HIP_66252,,HIP_66252,,TYC_5545-686-1,SAO_139419,HIP 66252_DB_H23_2016-06-27_ird_convert_recenter_dc2022_COBREX_328656,2016-06-27T23:49:18.50,2016-06-27T23:14:08.62,2016-06-28T00:24:27.22,DB_H23,B_H,0.8000,3.8000,11.0500,32.0589,-1.0000,-1.0000,-1.0000,1.1100,1.0800,1.0200,1.0000,0.8622,0.4322,0.8296,,0.0036,0.0063,,3.6083,6.3250,,2.8000,-1.0000,-1.0000,-1.0000,6.1160,6.3120,8.6020,8.7372,64,64,52.0442,2022-06-10_20-11-56,0,test,0.0000,interactive,,0.0500,0,2,0.8296,3.6083,0.7739,1,0.8686,1,2
HD_118588__2015-05-15__02-41-39,HD_118588,HIP_66566,,HIP_66566,,TYC_7800-1497-1,SAO_224303,HIP 66566_DB_H23_2015-05-14_ird_convert_recenter_dc2022_COBREX_329512,2015-05-15T02:41:39.95,2015-05-15T02:15:10.67,2015-05-15T03:08:07.57,DB_H23,B_H,0.5600,8.2000,6.1300,17.9369,-1.0000,-1.0000,-1.0000,0.7300,0.7000,0.6500,1.0000,,,,0.5630,,,0.0081,,,8.1151,8.6000,-1.0000,-1.0000,-1.0000,7.3360,7.3920,,7.5344,48,48,-33.6535,2022-06-16_06-19-32,0,train,0.0000,interactive,,0.0400,0,2,0.5630,8.1151,0.9072,2,0.9198,2,2
HD_118697__2016-06-02__02-08-17,HD_118697,HIP_66651,,HIP_66651,,TYC_8663-2082-1,SAO_241045,HIP 66651_DB_H23_2016-06-01_ird_convert_recenter_dc2022_COBREX_332584,2016-06-02T02:08:17.03,2016-06-02T01:24:26.92,2016-06-02T02:52:04.54,DB_H23,B_H,0.4400,5.3000,3.3300,54.6310,-1.0000,-1.0000,-1.0000,0.8300,0.7600,0.7100,1.0000,0.5274,0.2356,0.4599,,0.0052,0.0055,,5.1811,5.5185,,3.4000,-1.0000,-1.0000,-1.0000,7.3340,7.3720,,7.3349,80,80,-38.2930,2022-06-25_03-30-37,0,train,0.0000,interactive,,0.0400,0,2,0.4599,5.1811,0.9202,2,0.9336,2,2
HD_122705__2015-03-31__05-47-53,HD_122705,HIP_68781,,HIP_68781,,TYC_8272-294-1,SAO_224654,HIP 68781_DB_H23_2015-03-30_ird_convert_recenter_dc2022_COBREX_332532,2015-03-31T05:47:53.85,2015-03-31T05:12:31.11,2015-03-31T06:23:12.26,DB_H23,B_H,0.8500,2.8000,13.1000,,-1.0000,-1.0000,-1.0000,0.9200,0.8600,0.8000,1.2000,,,,0.8498,,,0.0028,,,2.7947,3.3000,-1.0000,-1.0000,-1.0000,7.3410,7.4250,,7.6324,64,64,-35.0545,2022-06-25_03-10-37,0,train,0.0000,interactive,,0.0300,0,1,0.8498,2.7947,0.8256,2,0.8844,1,1
HD_122705__2016-03-30__06-08-16,HD_122705,HIP_68781,,HIP_68781,,TYC_8272-294-1,SAO_224654,HIP 68781_DB_H23_2016-03-29_ird_convert_recenter_dc2022_COBREX_waffles_only_328274,2016-03-30T06:08:16.51,2016-03-30T05:41:09.40,2016-03-30T06:35:25.16,DB_H23,B_H,0.8600,3.1000,5.1800,29.8178,0.2885,0.6154,0.3860,1.7700,1.6600,56.3000,1.0000,,,,0.8508,,,0.0030,,,3.0333,3.4000,0.7670,0.7950,0.7269,7.3410,7.4250,,7.6324,40,40,-27.7344,2022-06-08_16-04-29,0,test,0.0000,interactive,,0.0300,0,2,0.8508,3.0333,0.8298,2,0.8854,1,1
HD_125451__2016-06-12__01-39-47,HD_125451,HIP_69989,,HIP_69989,HR_5365,TYC_915-1442-1,SAO_100975,HIP 69989_DB_H23_2016-06-11_ird_convert_recenter_dc2022_COBREX_332665,2016-06-12T01:39:47.57,2016-06-12T01:04:09.11,2016-06-12T02:15:25.05,DB_H23,B_H,1.0300,2.5000,15.7800,47.8481,-1.0000,-1.0000,-1.0000,1.4600,1.2700,1.1600,1.0000,1.0425,0.8341,1.0560,,0.0024,0.0033,,2.4487,3.3305,,1.9000,-1.0000,-1.0000,-1.0000,4.3940,4.5380,,5.2890,128,128,25.9683,2022-06-25_03-46-58,0,train,0.0000,interactive,,0.0400,0,1,1.0560,2.4487,0.8026,2,0.9105,2,1
HD_128819__2016-04-17__06-04-03,HD_128819,HIP_71724,,HIP_71724,,TYC_7823-2493-1,SAO_225106,HIP 71724_DB_H23_2016-04-16_ird_convert_recenter_dc2022_COBREX_330190,2016-04-17T06:04:03.92,2016-04-17T05:28:56.43,2016-04-17T06:39:12.26,DB_H23,B_H,0.9100,2.8000,12.4500,47.3690,0.3994,1.1317,0.5869,1.0200,0.9900,3.4500,0.8000,0.8217,0.3838,0.8853,,0.0029,0.0050,,2.9016,5.0168,,3.2000,0.7429,0.8031,0.5779,6.7750,6.8320,,6.6393,64,64,-49.9924,2022-06-16_16-58-47,0,test,0.0000,interactive,,0.0300,0,1,0.8853,2.9016,0.8389,2,0.9146,2,1
HD_128819__2017-03-19__07-35-26,HD_128819,HIP_71724,,HIP_71724,,TYC_7823-2493-1,SAO_225106,HD 128819B_DB_H23_2017-03-18_ird_convert_recenter_dc2022_COBREX_waffles_only_335317,2017-03-19T07:35:26.61,2017-03-19T06:49:10.62,2017-03-19T08:21:17.57,DB_H23,B_H,0.6300,8.6000,1.6300,23.4495,0.2334,0.7744,0.3894,1.0000,0.9700,0.7100,1.4000,,,0.6274,,,,,,,,7.5000,0.8490,0.8887,0.7703,6.7750,6.8320,,6.6393,77,77,-67.6098,2022-06-25_19-06-14,0,train,0.0000,interactive,,0.0400,1,0,0.6274,8.6000,0.9142,0,0.9444,-1,-1
HD_128987__2016-06-01__02-51-53,HD_128987,HIP_71743,,HIP_71743,,TYC_6154-999-1,SAO_158720,HIP 71743_DB_H23_2016-05-31_ird_convert_recenter_dc2022_COBREX_332557,2016-06-01T02:51:53.67,2016-06-01T02:25:03.90,2016-06-01T03:18:42.84,DB_H23,B_H,0.8400,2.2000,8.4800,56.7658,0.4566,0.9255,0.6234,1.0400,1.0300,0.9600,1.0000,0.8444,0.4233,0.8255,,0.0021,0.0024,,2.0972,2.3839,,2.3000,0.6284,0.7598,0.3255,5.5310,5.6290,6.8370,7.0578,96,96,69.3824,2022-06-25_03-18-48,0,train,0.0000,interactive,,0.0400,0,1,0.8255,2.0972,0.8245,2,0.9095,2,1
HD_131399__2016-05-07__04-28-37,HD_131399,HD131399,,HIP_72940,,,SAO_206071,HIP 72940_DB_K12_2016-05-06_ird_convert_recenter_dc2022_COBREX_332437,2016-05-07T04:28:37.67,2016-05-07T04:13:02.80,2016-05-07T04:44:12.19,DB_K12,B_Ks,0.7800,3.2000,10.5700,,0.3819,0.7986,0.5631,1.0400,1.0300,0.9800,1.2000,0.8173,0.4135,0.7980,,0.0032,0.0046,,3.1695,4.5803,,3.6000,0.7324,0.7852,0.6681,6.6430,6.7080,8.3300,,56,56,-39.6362,2022-06-25_02-25-54,0,test,0.0000,interactive,,0.0500,0,2,0.7980,3.1695,0.7656,1,0.8783,1,2
HD_131835__2015-05-14__04-10-05,HD_131835,HIP_73145,,HIP_73145,,TYC_7310-1747-1,SAO_206117,HIP 73145_DB_H23_2015-05-13_ird_convert_recenter_dc2022_COBREX_330126,2015-05-14T04:10:05.40,2015-05-14T03:34:46.42,2015-05-14T04:45:24.06,DB_H23,B_H,0.5900,8.6000,5.4700,15.0980,-1.0000,-1.0000,-1.0000,0.8500,0.8300,0.5600,1.0000,,,,0.5886,,,0.0085,,,8.4676,9.0000,-1.0000,-1.0000,-1.0000,7.5240,7.5640,,7.8813,64,64,-72.6562,2022-06-16_16-01-50,0,train,3.0000,faint disk --> draw rectangular box full diagonal x 120 pix,,0.0400,0,2,0.5886,8.4676,0.8925,2,0.8990,2,2
HD_133803__2016-04-21__05-24-48,HD_133803,HIP_73990,,HIP_73990,,TYC_6773-783-1,SAO_183191,HIP 73990_DB_H23_2016-04-20_ird_convert_recenter_dc2022_COBREX_328607,2016-04-21T05:24:48.41,2016-04-21T04:49:41.10,2016-04-21T05:59:57.90,DB_H23,B_H,2.2700,1.5000,10.9000,15.3263,0.8287,1.8831,1.2728,1.6100,1.6000,1.4600,0.8000,2.2950,1.2776,2.3236,,0.0015,0.0033,,1.4665,3.3076,,1.4000,0.4455,0.5564,0.3616,7.3210,7.3620,,8.0785,64,64,-93.8481,2022-06-10_20-00-32,0,train,0.0000,interactive,,0.0300,0,0,2.3236,1.4665,0.3261,0,0.6477,0,0
HD_133803__2016-06-28__01-37-21,HD_133803,HIP_73990,,HIP_73990,,TYC_6773-783-1,SAO_183191,HIP 73990_DB_K12_2016-06-27_ird_convert_recenter_dc2022_COBREX_328657,2016-06-28T01:37:21.81,2016-06-28T00:53:32.09,2016-06-28T02:21:09.61,DB_K12,B_Ks,1.4800,2.0000,15.8500,31.5234,-1.0000,-1.0000,-1.0000,1.3500,1.3400,2.4500,1.0000,1.2790,0.4216,1.3951,,0.0020,0.0058,,1.9924,5.8082,,1.1000,-1.0000,-1.0000,-1.0000,7.3210,7.3620,,8.0785,80,80,-127.4690,2022-06-10_20-13-19,0,train,0.0000,interactive,,0.0500,0,0,1.3951,1.9924,0.5620,1,0.7954,0,0
HD_138204__2016-03-29__07-23-28,HD_138204,HIP_76063,,HIP_76063,HR_5751,TYC_7836-1128-1,SAO_206736,HIP 76063_DB_H23_2016-03-28_ird_convert_recenter_dc2022_COBREX_332313,2016-03-29T07:23:28.01,2016-03-29T06:48:18.09,2016-03-29T07:58:36.18,DB_H23,B_H,1.3300,1.5000,13.7300,18.2849,0.3449,1.6244,0.6985,1.1700,1.1400,2.7400,1.0000,,,,1.5248,,,0.0015,,,1.4980,1.9000,0.7996,0.8802,0.5450,5.7150,5.7690,,6.1937,64,64,-55.9299,2022-06-25_00-23-29,0,test,0.0000,interactive,,0.0300,0,1,1.5248,1.4980,0.6510,1,0.8340,1,0
HD_140840__2016-04-21__07-08-29,HD_140840,HIP_77317,,HIP_77317,,TYC_7336-1113-1,SAO_206969,HIP 77317_DB_H23_2016-04-20_ird_convert_recenter_dc2022_COBREX_328608,2016-04-21T07:08:29.45,2016-04-21T06:33:19.98,2016-04-21T07:43:37.65,DB_H23,B_H,2.1300,1.5000,12.1000,17.3487,0.6861,2.0193,1.1943,1.5600,1.5300,1.3500,0.8000,1.9794,0.9218,2.0616,,0.0016,0.0040,,1.5529,4.0293,,2.0000,0.4990,0.6209,0.3671,7.3610,7.4060,,7.3478,64,64,-56.5720,2022-06-11_12-00-05,0,train,0.0000,interactive,,0.0300,0,0,2.0616,1.5529,0.5282,0,0.7408,0,0
HD_141190__2015-03-31__08-08-20,HD_141190,HIP_77457,,HIP_77457,,TYC_6790-1216-1,SAO_183818,HIP 77457_DB_H23_2015-03-30_ird_convert_recenter_dc2022_COBREX_332533,2015-03-31T08:08:20.98,2015-03-31T07:34:39.04,2015-03-31T08:45:15.10,DB_H23,B_H,0.9400,2.1000,16.7300,,-1.0000,-1.0000,-1.0000,0.8100,0.8000,0.7400,1.2000,,,,0.9400,,,0.0021,,,2.1198,1.7000,-1.0000,-1.0000,-1.0000,7.2760,7.3670,,7.9114,60,60,-115.4226,2022-06-25_03-10-33,0,train,0.0000,interactive,,0.0300,0,1,0.9400,2.1198,0.7809,1,0.8554,1,1
HD_141190__2015-06-09__03-06-49,HD_141190,HIP77457,,HIP_77457,,TYC_6790-1216-1,SAO_183818,HIP 77457_DB_K12_2015-06-08_ird_convert_recenter_dc2022_COBREX_333133,2015-06-09T03:06:49.54,2015-06-09T02:52:48.16,2015-06-09T03:20:50.76,DB_K12,B_Ks,0.9100,4.0000,4.7000,22.3071,0.3620,0.6340,0.4414,0.9300,0.9200,0.8800,1.2000,,,,0.9200,,,0.0040,,,4.0231,3.2000,0.7901,0.8214,0.7345,7.2760,7.3670,,7.9114,96,96,-49.8098,2022-06-25_06-43-16,1,,,,,0.0500,0,2,0.9200,4.0231,0.8192,2,0.8663,1,2
HD_141378__2015-06-05__03-13-45,HD_141378,HIP_77464,,HIP_77464,HR_5875,TYC_5026-903-1,SAO_140775,HIP 77464_DB_H23_2015-06-04_ird_convert_recenter_dc2022_COBREX_332992,2015-06-05T03:13:45.59,2015-06-05T02:38:37.60,2015-06-05T03:48:53.09,DB_H23,B_H,1.5400,1.6000,11.5300,26.6700,0.5113,1.0596,0.6879,1.1800,1.1300,1.0600,1.0000,,,,1.6489,,,0.0016,,,1.5869,1.4000,0.8350,0.8772,0.7444,5.2560,5.2670,,5.5114,64,64,39.4190,2022-06-25_05-16-48,0,train,0.0000,interactive,,0.0300,0,0,1.6489,1.5869,0.6336,1,0.8266,1,0
HD_141943__2016-05-25__03-43-09,HD_141943,HD 141943,,,,TYC_7846-1538-1,SAO_226339,HD 141943_BB_H_2016-05-24_ird_convert_recenter_dc2022_COBREX_332487,2016-05-25T03:43:09.46,2016-05-25T03:05:31.66,2016-05-25T04:20:48.50,BB_H,B_H,0.6200,3.6000,1.5000,48.4244,0.2882,0.6199,0.4289,0.9300,0.8900,0.8300,1.0000,0.7443,0.3281,0.6162,,0.0036,0.0037,,3.6319,3.6620,,4.0000,0.6678,0.7950,0.4992,6.3420,6.4130,,7.7945,264,264,-46.2575,2022-06-25_03-01-00,0,train,3.0000,interactive,,0.0400,1,0,0.6162,3.6319,0.8734,0,0.8979,-1,-1
HD_141943__2016-05-31__03-34-49,HD_141943,TYC_7846_1538_1,,,,TYC_7846-1538-1,SAO_226339,HD 141943_DB_H23_2016-05-30_ird_convert_recenter_dc2022_COBREX_330203,2016-05-31T03:34:49.59,2016-05-31T02:59:40.74,2016-05-31T04:09:57.99,DB_H23,B_H,0.9200,2.4000,9.0700,55.5820,0.4602,0.8784,0.6181,1.1600,1.1200,5.4400,1.0000,0.9119,0.4346,0.8796,,0.0024,0.0031,,2.4331,3.0556,,2.7000,0.6185,0.7003,0.4376,6.3420,6.4130,,7.7945,64,64,-46.6361,2022-06-16_17-04-50,0,train,3.0000,faint edge-on disk --> draw rectangular box 400x60 pix,,0.0400,0,1,0.8796,2.4331,0.8066,2,0.8708,1,1
